2016-10-04,18267.679688,18313.769531,18116.259766,18168.449219,79710000,18168.449219
2016-10-03,18279.599609,18279.800781,18203.75,18253.849609,68520000,18253.849609
2016-09-30,18181.800781,18369.619141,18181.800781,18308.150391,135470000,18308.150391
2016-09-29,18322.880859,18366.230469,18091.640625,18143.449219,95880000,18143.449219
2016-09-28,18240.220703,18349.859375,18179.339844,18339.240234,97650000,18339.240234
2016-09-27,18099.210938,18238.099609,18052.160156,18228.300781,84130000,18228.300781
2016-09-26,18217.759766,18217.759766,18083.320312,18094.830078,95510000,18094.830078
2016-09-23,18377.359375,18383.759766,18254.839844,18261.449219,87170000,18261.449219
2016-09-22,18343.759766,18449.880859,18343.759766,18392.460938,73030000,18392.460938
2016-09-21,18164.960938,18307.429688,18121.570312,18293.699219,94090000,18293.699219
2016-09-20,18175.359375,18227.210938,18128.800781,18129.960938,72450000,18129.960938
2016-09-19,18154.820312,18254.880859,18093.050781,18120.169922,78090000,18120.169922
2016-09-16,18217.210938,18016.929688,18217.210938,18123.800781,278510000,18123.800781
2016-09-15,18024.910156,18250.109375,18015.490234,18212.480469,99550000,18212.480469
2016-09-14,18073.390625,18163.480469,17992.210938,18034.769531,103360000,18034.769531
2016-09-13,18262.990234,18262.990234,18028.060547,18066.75,102830000,18066.75
2016-09-12,18028.949219,18358.689453,17994.839844,18325.070312,103260000,18325.070312
2016-09-09,18404.169922,18404.169922,18085.449219,18085.449219,120670000,18085.449219
2016-09-08,18486.689453,18506.240234,18446.689453,18479.910156,79060000,18479.910156
2016-09-07,18527.710938,18536.890625,18474.769531,18526.140625,67570000,18526.140625
2016-09-06,18493.400391,18551.539062,18450.320312,18538.119141,83710000,18538.119141
